,Div,B365H,B365D,B365A,VCH,VCD,VCA
357,E0,2.25,3.3,3.25,2.35,3.3,3.2
358,E0,2.1,3.3,3.6,2.15,3.4,3.5
359,E0,13.0,5.5,1.25,11.0,5.7,1.28
360,E0,1.53,3.8,7.0,1.55,3.9,6.75
361,E0,1.25,5.5,13.0,1.28,5.5,12.0
362,E0,1.57,4.0,6.0,1.6,3.8,6.0
363,E0,2.2,3.4,3.25,2.15,3.45,3.45
364,E0,1.16,7.0,17.0,1.18,7.5,16.0
365,E0,2.0,3.5,3.75,2.0,3.4,4.0
366,E0,2.2,3.4,3.25,2.3,3.4,3.2
367,E0,1.66,3.6,5.5,1.65,3.6,6.0
368,E0,1.66,3.6,5.5,1.65,3.8,5.5
369,E0,6.0,4.2,1.53,6.0,4.2,1.55
370,E0,2.0,3.6,3.6,2.1,3.5,3.6
371,E0,1.14,8.0,17.0,1.17,8.5,15.0
372,E0,5.5,4.2,1.57,6.0,4.2,1.55
373,E0,1.8,3.5,4.75,1.85,3.4,4.8
374,E0,2.1,3.3,3.6,2.05,3.25,4.0
375,E0,3.3,3.6,2.1,3.25,3.6,2.2
376,E0,4.33,3.75,1.8,4.3,3.75,1.85
377,E0,2.62,3.4,2.62,2.7,3.4,2.65
378,E0,3.2,3.5,2.2,3.1,3.6,2.25
379,E0,12.0,6.5,1.22,13.0,6.0,1.25
380,E0,1.2,6.5,15.0,1.25,6.0,13.0
381,E0,1.83,3.5,4.5,1.85,3.4,4.8
382,E0,2.0,3.3,4.0,2.05,3.3,4.0
383,E0,2.6,3.2,2.8,2.6,3.4,2.8
384,E0,3.2,3.4,2.25,3.2,3.4,2.3
385,E0,5.5,3.6,1.67,5.5,3.8,1.65
386,E0,1.91,3.4,4.2,1.9,3.5,4.35
387,E0,1.91,3.4,4.33,1.9,3.5,4.35
388,E0,1.33,5.0,10.0,1.33,5.0,11.0
389,E0,1.29,5.5,11.0,1.28,5.5,12.0
390,E0,1.57,3.75,7.0,1.55,3.75,7.0
391,E0,6.5,3.75,1.57,6.5,3.9,1.55
392,E0,1.36,4.5,10.0,1.4,4.6,8.5
393,E0,1.8,3.5,4.75,1.8,3.5,4.8
394,E0,5.0,3.6,1.73,5.3,3.7,1.7
395,E0,1.5,4.0,7.0,1.5,4.2,7.0
396,E0,2.88,3.25,2.5,2.9,3.3,2.5
397,E0,2.3,3.25,3.2,2.3,3.25,3.3
398,E0,8.5,4.5,1.4,8.0,4.8,1.4
399,E0,4.8,3.4,1.8,5.0,3.4,1.8
400,E0,1.44,4.0,9.0,1.45,4.1,8.5
401,E0,1.83,3.5,4.5,1.9,3.4,4.5
402,E0,2.1,3.3,3.75,2.1,3.3,3.8
403,E0,2.5,3.25,2.88,2.55,3.2,2.9
404,E0,1.57,3.6,7.0,1.55,3.75,7.0
405,E0,2.5,3.25,2.88,2.55,3.3,2.8
406,E0,3.0,3.25,2.4,2.85,3.25,2.55
407,E0,1.4,4.33,9.0,1.4,4.6,9.0
408,E0,2.2,3.3,3.4,2.25,3.3,3.4
409,E0,4.5,3.5,1.83,4.8,3.5,1.8
410,E0,2.25,3.3,3.3,2.2,3.35,3.4
411,E0,3.0,3.0,2.6,3.1,3.1,2.5
412,E0,4.33,3.3,1.91,4.4,3.35,1.9
