,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,VCH,VCD,VCA
132,E0,2007-11-24,Man City,Reading,2,1,H,1,1,D,S Tanner,13,5,9,3,12,15,2,7,0,2,0,0,1.57,3.75,6.5,1.55,3.75,5.5
133,E0,2007-11-24,Middlesbrough,Aston Villa,0,3,A,0,1,A,K Stroud,15,11,8,8,16,17,11,6,2,1,0,0,2.75,3.25,2.6,2.65,3.2,2.5
134,E0,2007-11-24,Newcastle,Liverpool,0,3,A,0,1,A,A Wiley,6,17,2,11,13,11,0,8,3,1,0,0,3.8,3.3,2.0,3.6,3.25,2.0
135,E0,2007-11-25,Fulham,Blackburn,2,2,D,0,0,D,M Dean,5,12,2,10,19,10,3,6,2,1,0,0,2.87,3.25,2.5,2.9,3.2,2.35
136,E0,2007-11-25,West Ham,Tottenham,1,1,D,1,0,H,M Riley,14,9,9,5,33,5,7,8,3,4,0,0,2.75,3.25,2.6,2.75,3.2,2.35
137,E0,2007-11-28,Blackburn,Aston Villa,0,4,A,0,1,A,P Dowd,16,7,10,7,11,16,11,2,0,1,1,0,2.2,3.25,3.4,2.1,3.25,3.3
138,E0,2007-12-01,Aston Villa,Arsenal,1,2,A,1,2,A,C Foy,11,14,5,9,16,10,4,7,3,2,0,0,4.0,3.3,2.0,3.75,3.4,1.9
139,E0,2007-12-01,Blackburn,Newcastle,3,1,H,0,0,D,M Atkinson,13,20,6,8,21,17,1,1,2,3,0,0,1.9,3.4,4.2,1.9,3.25,4.0
140,E0,2007-12-01,Chelsea,West Ham,1,0,H,0,0,D,H Webb,14,4,5,1,15,26,7,0,5,3,0,0,1.25,5.5,13.0,1.3,4.5,10.0
141,E0,2007-12-01,Portsmouth,Everton,0,0,D,0,0,D,P Walton,20,4,6,2,14,13,9,0,1,2,0,0,2.2,3.25,3.4,2.1,3.2,3.4
142,E0,2007-12-01,Reading,Middlesbrough,1,1,D,0,0,D,A Wiley,12,16,7,11,11,16,5,4,2,1,0,0,2.0,3.3,4.0,1.9,3.25,4.0
143,E0,2007-12-01,Sunderland,Derby,1,0,H,0,0,D,M Halsey,20,12,9,9,12,15,5,3,1,1,0,0,1.66,3.6,5.5,1.65,3.5,5.0
144,E0,2007-12-01,Wigan,Man City,1,1,D,1,1,D,M Riley,5,4,4,1,13,10,2,4,2,2,1,0,3.0,3.25,2.4,3.0,3.25,2.25
145,E0,2007-12-02,Liverpool,Bolton,4,0,H,2,0,H,S Bennett,23,6,14,3,11,14,5,5,0,3,0,0,1.28,5.0,13.0,1.3,4.5,8.5
146,E0,2007-12-02,Tottenham,Birmingham,2,3,A,0,1,A,P Dowd,17,7,9,3,10,13,12,3,0,1,1,0,1.44,4.2,8.0,1.45,3.75,8.0
147,E0,2007-12-03,Man United,Fulham,2,0,H,1,0,H,R Styles,15,12,11,3,3,13,7,3,2,1,0,0,1.2,6.0,17.0,1.17,6.0,17.0
148,E0,2007-12-05,Newcastle,Arsenal,1,1,D,0,1,A,M Dean,12,6,8,2,9,10,6,6,3,2,0,0,6.0,3.75,1.61,5.5,3.5,1.6
149,E0,2007-12-08,Aston Villa,Portsmouth,1,3,A,0,2,A,M Riley,14,12,6,8,18,23,7,5,2,5,0,0,2.1,3.3,3.6,2.1,3.2,3.4
150,E0,2007-12-08,Chelsea,Sunderland,2,0,H,1,0,H,P Walton,11,9,4,2,6,12,10,2,0,1,0,1,1.16,6.5,21.0,1.18,6.0,13.0
151,E0,2007-12-08,Everton,Fulham,3,0,H,0,0,D,S Bennett,15,6,11,4,9,9,12,7,0,2,0,0,1.57,3.75,6.5,1.55,3.4,6.5
